workflow_mode,store_scope,month_key,source_id,status,path,chunk_start_utc,chunk_end_utc,row_count,staged_from_legacy_path,source_system,source_tier
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_forcing_store,201702,hycom,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201702/hycom_curr.nc,2017-02-01T06:00:00+00:00,2017-03-02T00:00:00+00:00,,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_forcing_store,201702,cmems,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201702/cmems_curr.nc,2017-02-01T06:00:00+00:00,2017-03-02T00:00:00+00:00,,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_forcing_store,201702,cmems_wave,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201702/cmems_wave.nc,2017-02-01T06:00:00+00:00,2017-03-02T00:00:00+00:00,,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_forcing_store,201702,era5,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201702/era5_wind.nc,2017-02-01T06:00:00+00:00,2017-03-02T00:00:00+00:00,,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_forcing_store,201702,gfs,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201702/gfs_wind.nc,2017-02-01T06:00:00+00:00,2017-03-02T00:00:00+00:00,,,ncei_thredds_archive,primary
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_forcing_store,201703,hycom,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201703/hycom_curr.nc,2017-03-02T06:00:00+00:00,2017-03-11T18:00:00+00:00,,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_forcing_store,201703,cmems,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201703/cmems_curr.nc,2017-03-02T06:00:00+00:00,2017-03-11T18:00:00+00:00,,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_forcing_store,201703,cmems_wave,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201703/cmems_wave.nc,2017-03-02T06:00:00+00:00,2017-03-11T18:00:00+00:00,,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_forcing_store,201703,era5,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201703/era5_wind.nc,2017-03-02T06:00:00+00:00,2017-03-11T18:00:00+00:00,,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_forcing_store,201703,gfs,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201703/gfs_wind.nc,2017-03-02T06:00:00+00:00,2017-03-11T18:00:00+00:00,,,ncei_thredds_archive,primary
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_forcing_store,201804,hycom,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201804/hycom_curr.nc,2018-04-18T06:00:00+00:00,2018-04-21T06:00:00+00:00,,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_forcing_store,201804,cmems,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201804/cmems_curr.nc,2018-04-18T06:00:00+00:00,2018-04-21T06:00:00+00:00,,,,
